Runners,Outs,0,1,2,3
-- -- --,0,0.47,0.50,0.55,0.67
1 -- --,0,0.84,0.89,0.98,1.15
-- 2 --,0,1.10,1.13,1.20,1.30
-- -- 3,0,1.41,1.47,1.57,1.83
1 2 --,0,1.33,1.37,1.41,1.52
1 -- 3,0,1.68,1.74,1.82,1.98
-- 2 3,0,1.91,1.95,1.99,2.11
1 2 3,0,2.21,2.27,2.46,2.63
-- -- --,1,0.24,0.26,0.30,0.38
1 -- --,1,0.48,0.51,0.57,0.69
-- 2 --,1,0.63,0.67,0.72,0.79
-- -- 3,1,0.86,0.86,1.00,1.21
1 2 --,1,0.90,0.93,0.99,1.06
1 -- 3,1,1.13,1.18,1.25,1.36
-- 2 3,1,1.28,1.32,1.39,1.48
1 2 3,1,1.43,1.53,1.68,1.91
-- -- --,2,0.09,0.10,0.12,0.16
1 -- --,2,0.19,0.21,0.24,0.32
-- 2 --,2,0.27,0.31,0.34,0.39
-- -- 3,2,0.38,0.41,0.49,0.61
1 2 --,2,0.32,0.34,0.38,0.45
1 -- 3,2,0.42,0.47,0.54,0.67
-- 2 3,2,0.48,0.53,0.57,0.69
1 2 3,2,0.62,0.74,0.89,1.18